ABISSO FONDALE
ECLISSI OSCURAMENTO
AEREO VOLO
EDERA RAMPICANTE
AGO CRUNA
ELICOTTERO ELICA
ALIBI MOVENTE
ENIGMA SOLUZIONE
ALVEARE CERA
EQUATORE TROPICO
EREMITA SOLITUDINE
AMBRA RESINA
ESAME APPELLO
ANFORA TERRACOTTA
FAGLIA TERREMOTO
ANIMA SPIRITO
ANTENNA SEGNALE
FANTASCIENZA FUTURO
APE POLLINE
FARAONE PIRAMIDE
AQUILA ALI
FARINA MULINO
ARANCIA VITAMINA
FARO LANTERNA
ARCOBALENO PRISMA
FEBBRE TERMOMETRO
ARENA GLADIATORE
FELCE SOTTOBOSCO
ARGILLA TORNIO
ARMATURA SCUDO
FIABA MORALE
FIAMMIFERO FUOCO
ASCENSORE CARRUCOLA
FICODINDIA SPINE
ASFALTO CATRAME
FIENO MUCCA
FIRMA AUTOGRAFO
ATOMO NUCLEO
FIUME ARGINE
ATTORE COPIONE
FLAUTO FIATO
AURORA ALBA
FORESTA FOGLIAME
AUTOSTRADA CASELLO
FORMAGGIO LATTE
AVVOCATO DIFESA
FORMICA OPERAIO
BACHECA AVVISO
FORNO COTTURA
FOSSILE SEDIMENTO
BAMBù CANNA
FRECCIA PUNTA
BANCA CREDITO
FULMINE TUONO
BANDIERA VESSILLO
FUNIVIA CABINA
BARBA RASOIO
FUOCO FIAMMA
BARCA CHIGLIA
GABBIA SBARRE
BAROMETRO PRESSIONE
GALASSIA STELLA
BASTONE APPOGGIO
GALEONE VELIERO
BATTERIA PERCUSSIONE
GATTO BAFFI
BICICLETTA PEDALE
GHIACCIAIO CREPACCIO
BILANCIA PESO
GHIANDA QUERCIA
BILIARDO STECCA
GIARDINO VIVAIO
BINARIO TRAVERSINA
GIGLIO PUREZZA
BISCOTTO INFORNATA
GINNASTICA SPALLIERA
BOCCA PALATO
BOLLA SAPONE
GIUDICE SENTENZA
BORGHESIA CETO
GHIACCIO GELO
BOTTONE ASOLA
BUSSOLA AGO
CACTUS DESERTO
GRATTACIELO ATTICO
GROTTA STALATTITE
CALAMITA MAGNETE
GUANTO PALMO
CALENDARIO ALMANACCO
GUSCIO CORAZZA
CALICE VETRO
IMPRONTA TRACCIA
CAMPANA BATTAGLIO
INCUDINE MARTELLO
CANDELA STOPPINO
INFERNO DANNAZIONE
CANE GUINZAGLIO
INGRANAGGIO RUOTA
CANNONE CALIBRO
INCHIOSTRO PENNA
ISOLA MARE
CAPANNA PAGLIA
LABIRINTO MINOTAURO
CAPPELLO VISIERA
LANA MAGLIONE
LARINGE CORDE
CARNEVALE MASCHERA
CARROZZA CAVALLO
LAVA ROCCE
CARTA BIANCO
LEGNO VENATURA
CASCATA SALTO
CASTELLO MURA
LEONE CRINIERA
CATENA ANELLO
LETTERA INDIRIZZO
CAVALLO ZOCCOLO
LIBRO INDICE
CELLA ALVEARE
LIMONE ACIDO
CEMENTO CALCESTRUZZO
LINCE SGUARDO
CERNIERA LAMPO
CHITARRA STRUMENTO
LOCOMOTIVA VAPORE
CLESSIDRA SABBIA
LUCE CHIARO
CLIMA CALDO
LUPO BRANCO
MAGLIA INTRECCIO
MAPPA STRADA
COLTELLO MANICO
COMPUTER TASTI
MATITA PUNTA
CONCERTO MUSICA
MATTONE MURO
CONCHIGLIA SPIRALE
MEDICINA RICETTA
CONIGLIO TANA
CONTADINO VERDURA
CORALLO BARRIERA
MERCATO BANCHI
CORDA CHITARRA
METALLO LEGA
CORO VOCE
MIELE DOLCE
CORONA TESTA
MINIERA PIETRA
CORRIDOIO STANZA
MONETA VALORE
CRANIO SCATOLA
MONTAGNA CIMA
CUCINA CIBO
MOSAICO TESSERA
MELA FRUTTO
FORBICI PARRUCCHIERA
VASO FIORI
PRATO VERDE
CAMINO LEGNA
NATALE REGALO
NEVE FREDDO
LENZUOLO STOFFA
MAIS CHICCO
